*Dist.Code*,*Dist.Name*,*School Name*,*Enroll*,*Free*,*% Free*,*Re-duced*,*% Re-duced*,*Eligible*,*%Eligible*,County
1007,Auburn School Department,Auburn Middle School,519,248,47.78,28,5.39,276,53.18,Androscoggin
1007,Auburn School Department,East Auburn Community School,189,76,40.21,11,5.82,87,46.03,Androscoggin
1007,Auburn School Department,Edward Little High School,1038,457,44.03,43,4.14,500,48.17,Androscoggin
1007,Auburn School Department,Fairview School,554,172,31.05,27,4.87,199,35.92,Androscoggin
1007,Auburn School Department,Park Avenue Elementary School,368,214,58.15,15,4.08,229,62.23,Androscoggin
1007,Auburn School Department,Sherwood Heights Elementary Sch,416,226,54.33,19,4.57,245,58.89,Androscoggin
1007,Auburn School Department,Walton School,280,171,61.07,29,10.36,200,71.43,Androscoggin
1007,Auburn School Department,Washburn School,270,199,73.7,19,7.04,218,80.74,Androscoggin
5027,Becket Family Of Services,Becket - Auburn,6,6,100,0,0,6,100,Androscoggin
1088,Lewiston School Department,Farwell Elementary School,367,216,58.86,17,4.63,233,63.49,Androscoggin
1088,Lewiston School Department,Governor James B Longley Elem Sch,382,381,99.74,0,0,381,99.74,Androscoggin
1088,Lewiston School Department,Lewiston High School,1324,721,54.46,52,3.93,773,58.38,Androscoggin
1088,Lewiston School Department,Lewiston Middle School,688,439,63.81,31,4.51,470,68.31,Androscoggin
1088,Lewiston School Department,Martel School,323,212,65.63,14,4.33,226,69.97,Androscoggin
1088,Lewiston School Department,Montello School,678,526,77.58,13,1.92,539,79.5,Androscoggin
1088,Lewiston School Department,Raymond A. Geiger Elementary School,739,437,59.13,19,2.57,456,61.71,Androscoggin
1088,Lewiston School Department,Thomas J Mcmahon Elementary Sch,645,372,57.67,17,2.64,389,60.31,Androscoggin
1092,Lisbon School Department,Lisbon Community School,644,300,46.58,59,9.16,359,55.75,Androscoggin
1092,Lisbon School Department,Lisbon High School,393,135,34.35,57,14.5,192,48.85,Androscoggin
1092,Lisbon School Department,Philip W Sugg Middle School,268,121,45.15,33,12.31,154,57.46,Androscoggin
5099,N F I North,N.F.I. Dirigo Place,7,4,57.14,0,0,4,57.14,Androscoggin
5099,N F I North,N.F.I.Dodge House,12,12,100,0,0,12,100,Androscoggin
5702,New Beginnings,New Beginnings Shelter,12,12,100,0,0,12,100,Androscoggin
3157,Rsu 04,Oak Hill High School,450,175,38.89,36,8,211,46.89,Androscoggin
3157,Rsu 04,Oak Hill Middle School,326,154,47.24,32,9.82,186,57.06,Androscoggin
3157,Rsu 04,Sabattus Primary School,185,85,45.95,15,8.11,100,54.05,Androscoggin
3158,Rsu 05,Durham Elementary School,420,89,21.19,24,5.71,113,26.9,Androscoggin
3163,Rsu 16,Bruce M Whittier Middle School,274,88,32.12,23,8.39,111,40.51,Androscoggin
3163,Rsu 16,Elm Street School-Mechanic Falls,301,143,47.51,17,5.65,160,53.16,Androscoggin
3163,Rsu 16,Minot Consolidated School,261,72,27.59,24,9.2,96,36.78,Androscoggin
3163,Rsu 16,Poland Community School,501,184,36.73,36,7.19,220,43.91,Androscoggin
3163,Rsu 16,Poland Regional H S,566,184,32.51,38,6.71,222,39.22,Androscoggin
1246,Rsu 52/Msad 52,Greene Central School,377,122,32.36,26,6.9,148,39.26,Androscoggin
1246,Rsu 52/Msad 52,Leavitt Area High School,625,164,26.24,62,9.92,226,36.16,Androscoggin
1246,Rsu 52/Msad 52,Leeds Central School,189,75,39.68,19,10.05,94,49.74,Androscoggin
1246,Rsu 52/Msad 52,Tripp Middle School,299,82,27.42,31,10.37,113,37.79,Androscoggin
1246,Rsu 52/Msad 52,Turner Elementary School,200,61,30.5,20,10,81,40.5,Androscoggin
1246,Rsu 52/Msad 52,Turner Primary School,335,100,29.85,27,8.06,127,37.91,Androscoggin
3198,Rsu 73,Livermore Elementary School,466,273,58.58,33,7.08,306,65.67,Androscoggin
5728,Rumford Group Home,Turner Family Support,4,4,100,0,0,4,100,Androscoggin
1375,Spurwink School Inc,Spurwink Services--Auburn,25,14,56,1,4,15,60,Androscoggin
1360,St Dominic Academy,St Dominick Academy,262,12,4.58,6,2.29,18,6.87,Androscoggin
1033,Caswell School Department,Dawn F Barnes Elementary Sch,32,26,81.25,2,6.25,28,87.5,Aroostook
5602,Connor Consolidated School,Connor Consolidated School,32,17,53.13,9,28.13,26,81.25,Aroostook
1053,Easton School Department,Easton Elementary School,112,49,43.75,13,11.61,62,55.36,Aroostook
1053,Easton School Department,Easton Junior-Senior High Sch,63,22,34.92,8,12.7,30,47.62,Aroostook
1097,Madawaska School Department,Madawaska Elementary School,240,90,37.5,17,7.08,107,44.58,Aroostook
1097,Madawaska School Department,Madawaska Middle/High School,240,69,28.75,22,9.17,91,37.92,Aroostook
1221,Msad 27,Eagle Lake Elem/Jr High School,56,18,32.14,3,5.36,21,37.5,Aroostook
1221,Msad 27,Fort Kent Community High School,336,188,55.95,44,13.1,232,69.05,Aroostook
1221,Msad 27,Fort Kent Elementary School,376,174,46.28,23,6.12,197,52.39,Aroostook
1221,Msad 27,St Francis Elementary School,29,20,68.97,1,3.45,21,72.41,Aroostook
1221,Msad 27,Wallagrass Elementary School,72,38,52.78,8,11.11,46,63.89,Aroostook
1116,New Sweden School Department,New Sweden Consolidated School,64,35,54.69,11,17.19,46,71.88,Aroostook
1386,Opportunity Training Center,Opportunity Training Center,25,15,60,4,16,19,76,Aroostook
1223,Rsu 29/Msad 29,Houlton Elementary School,443,283,63.88,25,5.64,308,69.53,Aroostook
1223,Rsu 29/Msad 29,Houlton High School,348,143,41.09,34,9.77,177,50.86,Aroostook
1223,Rsu 29/Msad 29,Houlton Junior High School,189,90,47.62,20,10.58,110,58.2,Aroostook
1223,Rsu 29/Msad 29,Houlton Southside School,284,141,49.65,29,10.21,170,59.86,Aroostook
1223,Rsu 29/Msad 29,Wellington School,67,46,68.66,4,5.97,50,74.63,Aroostook
1226,Rsu 32/Msad 32,Ashland District School,316,145,45.89,34,10.76,179,56.65,Aroostook
1227,Rsu 33/Msad 33,Dr Levesque Elementary School,122,55,45.08,4,3.28,59,48.36,Aroostook
1227,Rsu 33/Msad 33,Wisdom Middle High School,145,47,32.41,17,11.72,64,44.14,Aroostook
3174,Rsu 39,Caribou High School,471,164,34.82,23,4.88,187,39.7,Aroostook
3174,Rsu 39,Caribou Middle School,278,104,37.41,18,6.47,122,43.88,Aroostook
3174,Rsu 39,Hilltop Elementary School,306,161,52.61,20,6.54,181,59.15,Aroostook
3174,Rsu 39,Limestone Community School,263,183,69.58,18,6.84,201,76.43,Aroostook
3174,Rsu 39,Teague Park School,246,112,45.53,27,10.98,139,56.5,Aroostook
1236,Rsu 42/Msad 42,Central Aroostook Jr-Sr H S,202,65,32.18,21,10.4,86,42.57,Aroostook
1236,Rsu 42/Msad 42,Fort Street School,237,100,42.19,19,8.02,119,50.21,Aroostook
1239,Rsu 45/Msad 45,Washburn District Elem School,267,150,56.18,23,8.61,173,64.79,Aroostook
1239,Rsu 45/Msad 45,Washburn District High School,126,49,38.89,13,10.32,62,49.21,Aroostook
3199,Rsu 50,So Aroostook Csd School,370,216,58.38,34,9.19,250,67.57,Aroostook
1262,Rsu 70/Msad 70,Mill Pond School,343,195,56.85,46,13.41,241,70.26,Aroostook
1262,Rsu 70/Msad 70,Sad 70 Hodgdon High School,174,90,51.72,16,9.2,106,60.92,Aroostook
1196,Rsu 79/Msad 01,Eva Hoyt Zippel School,295,145,49.15,26,8.81,171,57.97,Aroostook
1196,Rsu 79/Msad 01,Mapleton Elementary School,203,68,33.5,6,2.96,74,36.45,Aroostook
1196,Rsu 79/Msad 01,Pine Street Elementary School,370,202,54.59,13,3.51,215,58.11,Aroostook
1196,Rsu 79/Msad 01,Presque Isle High School,550,182,33.09,54,9.82,236,42.91,Aroostook
1196,Rsu 79/Msad 01,Presque Isle Middle School,434,169,38.94,53,12.21,222,51.15,Aroostook
1214,Rsu 86/Msad 20,Fort Fairfield Elementary School,259,155,59.85,21,8.11,176,67.95,Aroostook
1214,Rsu 86/Msad 20,Fort Fairfield Middle/High School,271,130,47.97,27,9.96,157,57.93,Aroostook
1218,Rsu 88/Msad 24,Van Buren District Secondary Sch,95,49,51.58,5,5.26,54,56.84,Aroostook
1218,Rsu 88/Msad 24,Van Buren Elementary School,217,142,65.44,13,5.99,155,71.43,Aroostook
1187,Woodland School Department,Woodland Consolidated Sch,134,65,48.51,12,8.96,77,57.46,Aroostook
1296,Arthur R. Gould Sch--Lcydc,Arthur R. Gould Sch--Lcydc,107,107,100,0,0,107,100,Cumberland
5027,Becket Family Of Services,Becket - Gorham,7,7,100,0,0,7,100,Cumberland
1026,Brunswick School Department,Brunswick High School,846,191,22.58,56,6.62,247,29.2,Cumberland
1026,Brunswick School Department,Brunswick Jr High School,501,134,26.75,30,5.99,164,32.73,Cumberland
1026,Brunswick School Department,Coffin School,350,130,37.14,13,3.71,143,40.86,Cumberland
1026,Brunswick School Department,Harriet Beecher Stowe Elementary School,694,227,32.71,47,6.77,274,39.48,Cumberland
1029,Cape Elizabeth School Department,Cape Elizabeth High School,554,43,7.76,6,1.08,49,8.84,Cumberland
1029,Cape Elizabeth School Department,Cape Elizabeth Middle School,546,34,6.23,7,1.28,41,7.51,Cumberland
1029,Cape Elizabeth School Department,Pond Cove Elementary,573,32,5.58,7,1.22,39,6.81,Cumberland
1057,Falmouth School Department,Falmouth Elemetary School,897,43,4.79,14,1.56,57,6.35,Cumberland
1057,Falmouth School Department,Falmouth High School,710,25,3.52,9,1.27,34,4.79,Cumberland
1057,Falmouth School Department,Falmouth Middle School,518,23,4.44,8,1.54,31,5.98,Cumberland
1065,Gorham School Department,Gorham High School,855,164,19.18,18,2.11,182,21.29,Cumberland
1065,Gorham School Department,Gorham Middle School,655,117,17.86,15,2.29,132,20.15,Cumberland
1065,Gorham School Department,Great Falls Elementary School,529,110,20.79,7,1.32,117,22.12,Cumberland
1065,Gorham School Department,Narragansett Elementary School,257,67,26.07,9,3.5,76,29.57,Cumberland
1065,Gorham School Department,Village Elementary School-Gorham,436,75,17.2,2,0.46,77,17.66,Cumberland
1408,Holy Cross School S Portland,Holy Cross School-S Portland,142,19,13.38,3,2.11,22,15.49,Cumberland
1135,Long Island School Department,Long Island Elementary School,22,4,18.18,1,4.55,5,22.73,Cumberland
1297,Me Educational Ctr For The Deaf & Hard Of Hearing,Governor Baxter School For The Deaf,80,25,31.25,7,8.75,32,40,Cumberland
5099,N F I North,N.F.I. Bridge Crossing,12,11,91.67,0,0,11,91.67,Cumberland
1134,Portland Public Schools,Casco Bay High School,336,136,40.48,5,1.49,141,41.96,Cumberland
1134,Portland Public Schools,Deering High School,932,468,50.21,35,3.76,503,53.97,Cumberland
1134,Portland Public Schools,East End Community School,428,317,74.07,11,2.57,328,76.64,Cumberland
1134,Portland Public Schools,Fred P Hall School,449,179,39.87,13,2.9,192,42.76,Cumberland
1134,Portland Public Schools,Harrison Lyseth Elem School,519,167,32.18,20,3.85,187,36.03,Cumberland
1134,Portland Public Schools,Howard C Reiche Community Sch,364,263,72.25,8,2.2,271,74.45,Cumberland
1134,Portland Public Schools,King Middle School,536,269,50.19,21,3.92,290,54.1,Cumberland
1134,Portland Public Schools,Lincoln Middle School,481,224,46.57,21,4.37,245,50.94,Cumberland
1134,Portland Public Schools,Longfellow School-Portland,369,88,23.85,9,2.44,97,26.29,Cumberland
1134,Portland Public Schools,Lyman Moore Middle School,501,244,48.7,33,6.59,277,55.29,Cumberland
1134,Portland Public Schools,Ocean Avenue School,438,202,46.12,9,2.05,211,48.17,Cumberland
1134,Portland Public Schools,Peaks Island School,52,5,9.62,6,11.54,11,21.15,Cumberland
1134,Portland Public Schools,Portland High School,878,422,48.06,34,3.87,456,51.94,Cumberland
1134,Portland Public Schools,Presumpscot School,282,201,71.28,14,4.96,215,76.24,Cumberland
1134,Portland Public Schools,Riverton School,457,325,71.12,13,2.84,338,73.96,Cumberland
3158,Rsu 05,Freeport High School,516,73,14.15,27,5.23,100,19.38,Cumberland
3158,Rsu 05,Freeport Middle School,300,57,19,11,3.67,68,22.67,Cumberland
3158,Rsu 05,Mast Landing School,273,65,23.81,5,1.83,70,25.64,Cumberland
3158,Rsu 05,Morse Street School,274,56,20.44,6,2.19,62,22.63,Cumberland
3158,Rsu 05,Pownal Elementary School,80,12,15,0,0,12,15,Cumberland
1200,Rsu 06/ Msad 06,Bonny Eagle High School,1173,356,30.35,81,6.91,437,37.25,Cumberland
1200,Rsu 06/ Msad 06,Edna Libby Elementary School,287,117,40.77,17,5.92,134,46.69,Cumberland
1200,Rsu 06/ Msad 06,George E Jack School,190,69,36.32,14,7.37,83,43.68,Cumberland
1200,Rsu 06/ Msad 06,Steep Falls Elementary School,118,40,33.9,8,6.78,48,40.68,Cumberland
3162,Rsu 14 Raymond/Windham,Jordan-Small Middle School,188,56,29.79,14,7.45,70,37.23,Cumberland
3162,Rsu 14 Raymond/Windham,Manchester School,401,125,31.17,34,8.48,159,39.65,Cumberland
3162,Rsu 14 Raymond/Windham,Raymond Elementary School,232,62,26.72,16,6.9,78,33.62,Cumberland
3162,Rsu 14 Raymond/Windham,Windham High School,1035,293,28.31,80,7.73,373,36.04,Cumberland
3162,Rsu 14 Raymond/Windham,Windham Middle School,600,166,27.67,47,7.83,213,35.5,Cumberland
3162,Rsu 14 Raymond/Windham,Windham Primary School,819,260,31.75,39,4.76,299,36.51,Cumberland
1209,Rsu 15/Msad 15,Burchard A Dunn School,378,117,30.95,23,6.08,140,37.04,Cumberland
1209,Rsu 15/Msad 15,Gray-New Gloucester High School,509,137,26.92,30,5.89,167,32.81,Cumberland
1209,Rsu 15/Msad 15,Gray-New Gloucester Middle School,653,196,30.02,48,7.35,244,37.37,Cumberland
1209,Rsu 15/Msad 15,Memorial School,207,78,37.68,12,5.8,90,43.48,Cumberland
1209,Rsu 15/Msad 15,Russell School,287,88,30.66,19,6.62,107,37.28,Cumberland
1211,Rsu 17/Msad 17,Harrison Elementary,144,75,52.08,14,9.72,89,61.81,Cumberland
1245,Rsu 51/Msad 51,Greely High School,673,45,6.69,21,3.12,66,9.81,Cumberland
1245,Rsu 51/Msad 51,Greely Middle School,494,39,7.89,13,2.63,52,10.53,Cumberland
1245,Rsu 51/Msad 51,Mabel I Wilson School,558,55,9.86,11,1.97,66,11.83,Cumberland
1245,Rsu 51/Msad 51,North Yarmouth Memorial School,325,32,9.85,4,1.23,36,11.08,Cumberland
1249,Rsu 55/Msad 55,Baldwin Consolidated School,75,25,33.33,14,18.67,39,52,Cumberland
1255,Rsu 61/Msad 61,Lake Region High School,528,206,39.02,43,8.14,249,47.16,Cumberland
1255,Rsu 61/Msad 61,Lake Region Middle School,393,175,44.53,36,9.16,211,53.69,Cumberland
1255,Rsu 61/Msad 61,Sebago Elementary School,82,37,45.12,7,8.54,44,53.66,Cumberland
1255,Rsu 61/Msad 61,Songo Locks School,463,194,41.9,44,9.5,238,51.4,Cumberland
1255,Rsu 61/Msad 61,Stevens Brook School,298,167,56.04,20,6.71,187,62.75,Cumberland
1266,Rsu 75/Msad 75,Harpswell Islands School,166,61,36.75,14,8.43,75,45.18,Cumberland
1149,Scarborough School Department,Benjamin Wentworth Intermediate,703,101,14.37,30,4.27,131,18.63,Cumberland
1149,Scarborough School Department,Blue Point School,232,34,14.66,5,2.16,39,16.81,Cumberland
1149,Scarborough School Department,Eight Corners Elementary School,233,39,16.74,10,4.29,49,21.03,Cumberland
1149,Scarborough School Department,Pleasant Hill School,166,18,10.84,3,1.81,21,12.65,Cumberland
1149,Scarborough School Department,Scarborough High School,1043,115,11.03,41,3.93,156,14.96,Cumberland
1149,Scarborough School Department,Scarborough Middle School,790,115,14.56,39,4.94,154,19.49,Cumberland
1155,South Portland School Department,Daniel F. Mahoney Middle School,307,91,29.64,23,7.49,114,37.13,Cumberland
1155,South Portland School Department,Dora L Small Elementary School,329,71,21.58,21,6.38,92,27.96,Cumberland
